batter,strike_rate
"YBK Jaiswal",133.4146
"JC Buttler",144.8593
"SV Samson",132.4071
"D Padikkal",119.2053
"SO Hetmyer",144.0208
"R Ashwin",114.1093
"R Parag",120.2765
"TA Boult",108.1633
"OC McCoy",160.0000
"WP Saha",124.3977
"Shubman Gill",122.1865
"MS Wade",100.5618
"HH Pandya",140.2560
"DA Miller",133.5691
"V Kohli",125.9780
"F du Plessis",127.1674
"RM Patidar",136.0269
"GJ Maxwell",147.6766
"MK Lomror",124.7664
"KD Karthik",129.2676
"Shahbaz Ahmed",110.2767
"PWH de Silva",78.0000
"HV Patel",121.6931
"JR Hazlewood",66.6667
"Q de Kock",130.9513
"KL Rahul",132.7992
"M Vohra",125.9390
"DJ Hooda",127.5258
"MP Stoinis",131.6113
"E Lewis",131.0621
"KH Pandya",132.2034
"PVD Chameera",134.3750
"PK Garg",112.0536
"Abhishek Sharma",130.5284
"RA Tripathi",137.0427
"AK Markram",131.7500
"N Pooran",144.7619
"Washington Sundar",114.3885
"R Shepherd",134.8837
"J Suchith",112.9032
"B Kumar",93.0502
"Umran Malik",50.0000
"JM Bairstow",138.0749
"S Dhawan",122.8408
"M Shahrukh Khan",114.4068
"MA Agarwal",129.5064
"LS Livingstone",155.9659
"JM Sharma",157.0470
"PN Mankad",400.0000
"PP Shaw",143.5805
"DA Warner",136.4016
"MR Marsh",120.8122
"RR Pant",142.5500
"SN Khan",135.0254
"R Powell",143.6782
"AR Patel",123.5038
"SN Thakur",125.3623
"Kuldeep Yadav",80.7692
"Ishan Kishan",129.5014
"RG Sharma",126.9646
"D Brevis",138.7931
"Tilak Varma",126.8371
"TH David",198.9362
"Ramandeep Singh",107.1429
"DR Sams",91.6667
"RD Gaikwad",127.7249
"DP Conway",143.1818
"MM Ali",139.5706
"N Jagadeesan",102.8169
"AT Rayudu",124.1481
"MS Dhoni",130.9311
"Simarjeet Singh",87.5000
"MJ Santner",98.1818
"R Tewatia",125.5102
"Rashid Khan",146.2617
"VR Iyer",116.4557
"N Rana",130.0537
"A Tomar",50.0000
"SS Iyer",121.1329
"SW Billings",126.0652
"AD Russell",168.2343
"RK Singh",123.0392
"SP Narine",154.3675
"UT Yadav",100.5682
"KS Williamson",123.3158
"T Stubbs",50.0000
"R Sanjay Yadav",0.0000
"JJ Bumrah",82.3529
"Lalit Yadav",100.8811
"PBB Rajapaksa",150.3650
"Harpreet Brar",106.0000
"R Dhawan",107.9545
"RD Chahar",105.8824
"K Rabada",98.9362
"Arshdeep Singh",63.8889
"JDS Neesham",98.9247
"A Badoni",115.8273
"JO Holder",120.4878
"Mohsin Khan",121.0526
"Avesh Khan",163.1579
"S Dube",127.1719
"AM Rahane",117.5758
"Shashank Singh",146.8085
"M Jansen",81.8182
"Mohammed Siraj",86.4865
"RV Uthappa",126.1523
"DJ Bravo",125.1002
"M Theekshana",100.0000
"Mukesh Choudhary",100.0000
"HR Shokeen",89.5833
"HE van der Dussen",88.0000
"KS Bharat",118.4524
"KS Sharma",100.0000
"SP Jackson",107.0175
"PJ Cummins",145.7692
"TG Southee",111.1111
"KA Pollard",140.4577
"M Ashwin",70.0000
"K Kartikeya",50.0000
"RP Meredith",0.0000
"RV Patel",96.8750
"A Nortje",61.5385
"KK Ahmed",14.2857
"Kartik Tyagi",81.2500
"Fazalhaq Farooqi",25.0000
"B Indrajith",67.7419
"AJ Finch",123.3491
"AS Roy",0.0000
"Shivam Mavi",87.9310
"Harshit Rana",100.0000
"SA Yadav",134.0091
"B Sai Sudharsan",122.8814
"Mandeep Singh",120.6847
"SA Abbott",122.2222
"S Gopal",104.0462
"RA Jadeja",122.1083
"D Pretorius",157.1429
"PJ Sangwan",55.3191
"LH Ferguson",142.5532
"AS Joseph",100.0000
"KK Nair",125.5034
"DJ Mitchell",71.7391
"A Manohar",136.7089
"M Prasidh Krishna",37.5000
"SS Prabhudessai",108.0645
"MK Pandey",117.7399
"JD Unadkat",120.5882
"Anuj Rawat",104.0323
"Yash Dayal",0.0000
"NT Ellis",94.7368
"VG Arora",35.7143
"Ravi Bishnoi",44.4444
"CV Varun",63.1579
"V Shankar",118.6688
"P Simran Singh",95.5224
"OF Smith",102.0000
"FA Allen",73.6842
"TS Mills",57.1429
"Aman Hakim Khan",166.6667
"YS Chahal",41.5730
"KR Sen",0.0000
"Akash Deep",0.0000
"K Gowtham",161.7391
"Rasikh Salam",120.0000
"CJ Jordan",110.2941
"DJ Willey",56.2500
"SE Rutherford",99.0654
"Abdul Samad",139.0244
"TL Seifert",100.0000
"Mustafizur Rahman",54.5455
"Navdeep Saini",86.8421
"Anmolpreet Singh",107.4074
"RA Bawa",78.5714
"NM Coulter-Nile",109.3333
"EJG Morgan",119.0517
"Shakib Al Hasan",119.5489
"AB de Villiers",148.5804
"DT Christian",112.7451
"TK Curran",117.5926
"SK Raina",132.5353
"SS Tiwary",115.7242
"J Yadav",105.2632
"SPD Smith",124.8124
"CH Morris",149.6368
"C Sakariya",64.0000
"JJ Roy",124.6212
"S Kaul",55.5556
"KA Jamieson",118.1818
"AF Milne",74.1935
"CH Gayle",142.1217
"KM Jadhav",119.3613
"GD Phillips",78.7879
"Sandeep Sharma",78.7879
"SM Curran",146.5217
"DL Chahar",133.8983
"T Shamsi",50.0000
"GHS Garton",50.0000
"MC Henriques",124.8439
"K Yadav",0.0000
"PP Chawla",107.5506
"Mohammad Nabi",147.6190
"Sachin Baby",117.0732
"DJ Malan",100.0000
"Mohammed Shami",93.2432
"Virat Singh",57.6923
"KL Nagarkoti",64.7059
"Harbhajan Singh",130.9748
"Mujeeb Ur Rahman",80.0000
"JA Richardson",60.0000
"CR Woakes",101.2987
"S Nadeem",44.3182
